,date,n_applicants,n_chances,size,winning_chances
0,2017-01-01,14,61,Standard Size,5
1,2017-01-02,15,55,Standard Size,5
2,2017-01-03,11,38,Standard Size,2
3,2017-01-04,11,34,Standard Size,3
4,2017-01-05,7,23,Standard Size,1
5,2017-01-06,3,7,Standard Size,5
6,2017-01-07,4,8,Standard Size,1
7,2017-01-08,8,24,Standard Size,5
8,2017-01-09,8,18,Standard Size,1
9,2017-01-10,10,28,Standard Size,5
10,2017-01-11,8,14,Standard Size,3
11,2017-01-12,9,27,Standard Size,5
12,2017-01-13,9,24,Standard Size,5
13,2017-01-13,9,24,Standard Size,1
14,2017-01-14,1,5,Standard Size,5
15,2017-01-15,4,14,Standard Size,5
16,2017-01-16,8,22,Standard Size,5
17,2017-01-17,8,22,Standard Size,5
18,2017-01-18,11,26,Standard Size,1
19,2017-01-18,11,26,Standard Size,2
20,2017-01-19,16,46,Standard Size,5
21,2017-01-20,15,29,Standard Size,3
22,2017-01-21,15,31,Standard Size,2
23,2017-01-22,7,19,Standard Size,5
24,2017-01-23,8,20,Standard Size,1
25,2017-01-24,7,18,Standard Size,5
26,2017-01-25,8,13,Standard Size,1
27,2017-01-25,8,13,Standard Size,1
28,2017-01-26,9,29,Standard Size,5
29,2017-01-27,4,8,Standard Size,1
30,2017-01-28,6,14,Standard Size,1
31,2017-01-29,7,23,Standard Size,5
32,2017-01-30,10,30,Standard Size,5
33,2017-01-31,17,45,Standard Size,5
34,2017-02-01,27,78,Standard Size,5
35,2017-02-02,17,56,Standard Size,4
36,2017-02-03,14,41,Standard Size,5
37,2017-02-04,11,37,Standard Size,5
38,2017-02-05,10,34,Standard Size,5
39,2017-02-06,22,55,Standard Size,5
40,2017-02-07,15,33,Standard Size,1
41,2017-02-08,32,56,Standard Size,5
42,2017-02-09,18,52,Standard Size,1
43,2017-02-10,21,52,Standard Size,5
44,2017-02-11,20,57,Standard Size,4
45,2017-02-12,21,57,Standard Size,5
46,2017-02-13,20,52,Standard Size,5
47,2017-02-14,28,72,Standard Size,5
48,2017-02-15,25,56,Standard Size,5
49,2017-02-16,21,57,Standard Size,1
50,2017-02-17,18,57,Standard Size,5
51,2017-02-18,9,22,Standard Size,1
52,2017-02-19,19,65,Standard Size,5
53,2017-02-20,28,85,Standard Size,3
54,2017-02-21,31,84,Standard Size,5
55,2017-02-22,25,71,Standard Size,3
56,2017-02-23,29,63,Standard Size,2
57,2017-02-24,36,80,Standard Size,5
58,2017-02-25,40,97,Standard Size,5
59,2017-02-26,51,130,Standard Size,5
60,2017-02-27,58,160,Standard Size,2
61,2017-02-28,69,183,Standard Size,1
62,2017-03-01,52,188,Standard Size,1
63,2017-03-01,52,188,Standard Size,5
64,2017-03-02,36,119,Standard Size,1
65,2017-03-02,36,119,Standard Size,5
66,2017-03-03,32,108,Standard Size,5
67,2017-03-03,32,108,Standard Size,5
68,2017-03-04,33,111,Standard Size,1
69,2017-03-04,33,111,Standard Size,1
70,2017-03-05,43,132,Standard Size,5
71,2017-03-05,43,132,Standard Size,5
72,2017-03-06,79,261,Standard Size,5
73,2017-03-06,79,261,Standard Size,5
74,2017-03-07,68,214,Standard Size,2
75,2017-03-07,68,214,Standard Size,5
76,2017-03-08,67,212,Standard Size,1
77,2017-03-08,67,212,Standard Size,5
78,2017-03-09,49,162,Standard Size,5
79,2017-03-09,49,162,Standard Size,5
80,2017-03-10,44,124,Standard Size,2
81,2017-03-10,44,124,Standard Size,2
82,2017-03-11,33,84,Standard Size,5
83,2017-03-11,33,84,Standard Size,5
84,2017-03-12,59,170,Standard Size,2
85,2017-03-12,59,170,Standard Size,5
86,2017-03-13,66,216,Standard Size,5
87,2017-03-13,66,216,Standard Size,5
88,2017-03-14,67,203,Standard Size,5
89,2017-03-14,67,203,Standard Size,5
90,2017-03-15,89,333,Standard Size,5
91,2017-03-15,89,333,Standard Size,2
92,2017-03-16,78,300,Standard Size,5
93,2017-03-16,78,300,Standard Size,3
94,2017-03-17,77,284,Standard Size,5
95,2017-03-17,77,284,Standard Size,2
96,2017-03-18,73,284,Standard Size,5
97,2017-03-18,73,284,Standard Size,5
98,2017-03-19,81,293,Standard Size,5
99,2017-03-19,81,293,Standard Size,4
100,2017-03-20,63,204,Standard Size,5
101,2017-03-20,63,204,Standard Size,5
102,2017-03-21,60,204,Standard Size,3
103,2017-03-21,60,204,Standard Size,5
104,2017-03-22,58,216,Standard Size,5
105,2017-03-22,58,216,Standard Size,5
106,2017-03-23,61,218,Standard Size,2
107,2017-03-23,61,218,Standard Size,5
108,2017-03-24,54,198,Standard Size,1
109,2017-03-24,54,198,Standard Size,3
110,2017-03-25,68,252,Standard Size,3
111,2017-03-25,68,252,Standard Size,4
112,2017-03-26,76,302,Standard Size,14
113,2017-03-26,76,302,Standard Size,5
114,2017-03-27,92,399,Standard Size,5
115,2017-03-28,104,397,Standard Size,41
116,2017-03-28,104,397,Standard Size,3
117,2017-03-29,102,373,Standard Size,5
118,2017-03-29,102,373,Standard Size,5
119,2017-03-30,90,313,Standard Size,9
120,2017-03-30,90,313,Standard Size,2
121,2017-03-31,101,364,Standard Size,5
122,2017-03-31,101,364,Standard Size,5
123,2017-04-01,118,463,Standard Size,5
